Generation,BestFitness,AverageFitness,WorstFitness
0,33116.5,39161.2,46798.5
1,33116.5,37793.8,43837
2,32494,36888.7,42464
3,31611,36106.4,42215.5
4,31611,35820.9,41253
5,29954,35581.8,43204
6,28631,34960.8,40847
7,28384.5,33877.7,41376
8,27343.5,31671.6,38364
9,27256,30008.5,35290
10,27000.5,28897.2,32198.5
11,26590.5,28323.9,32042.5
12,26187.5,27693.1,31533.5
13,25981.5,27328.6,30108.5
14,25652,27144.9,32420.5
15,25602,26702.5,30833.5
16,25184.5,26556.2,29711.5
17,24992.5,26450.4,29461
18,24854.5,26088.5,28861
19,24572,25631.6,28643.5
20,24142.5,25439.1,28138
21,23972.5,25282.6,28047.5
22,23936,25101.3,29271
23,23626.5,24614.6,27857.5
24,23027,24490.1,28114
25,22858,24198.6,27392.5
26,22337.5,23937.2,28039
27,22282,23624.8,27063
28,21812,23108.7,26657
29,21812,22884.3,26195.5
30,21605.5,22601.3,25708.5
31,21481.5,22472,25500
32,21429.5,22245.2,24805.5
33,21298,22260.3,25014.5
34,21089,22160.8,24758.5
35,21089,22199.2,24577.5
36,20968.5,21980.1,25284.5
37,20774.5,21724.2,24299.5
38,20696.5,21640.8,25457.5
39,20588.5,21471.1,24653
40,20528.5,21205.9,24069
41,20338.5,21123.3,23284.5
42,20338.5,20995,24232.5
43,20332,20919.2,23959
44,20234,20849,23032
45,19923,20839.9,23647.5
46,19810,20770.6,22623
47,19692.5,20536.6,23177.5
48,19692.5,20335.2,24178.5
49,19613.5,20197.9,23448.5
50,19469.5,20141.4,23914
51,19454,20105,23955.5
52,19454,20030.1,22252
53,19440,20048.8,22918.5
54,19409,19928.5,22912
55,19409,19934.9,22435.5
56,19361,19772.3,22988
57,19304,19865.7,22056.5
58,19304,19868.7,22893.5
59,19269,19794.3,23744.5
60,19254.5,19840.3,24252
61,19218,19694.7,22182.5
62,19177,19702.6,21493.5
63,19177,19662.1,21883
64,19177,19716.3,22447.5
65,18997.5,19604.3,21814.5
66,18997.5,19758.5,22191.5
67,18997.5,19643.2,21709
68,18997.5,19685.1,22611.5
69,18889,19537.3,21899
70,18889,19619.5,24240.5
71,18837,19504.4,22083.5
72,18787,19414.5,22148
73,18558,19446.5,21602
74,18498.5,19407.1,23772
75,18498.5,19218.4,22157.5
76,18389,19304.1,22317
77,18312.5,19004.1,23537
78,18264.5,19045.7,22020.5
79,18264.5,18901.8,21310
80,18206.5,18781.2,22312
81,18206.5,18768.9,23906.5
82,18206.5,18692.3,20896
83,17994,18799.9,21692.5
84,17994,18893.5,21667.5
85,17994,18637.5,21593.5
86,17994,18594.2,23701.5
87,17793.5,18654.6,22021.5
88,17761,18628.3,21417
89,17761,18375.9,21391.5
90,17730,18469.3,22131
91,17730,18351,21393
92,17730,18347.2,20960.5
93,17730,18428.9,21972.5
94,17649.5,18331.4,21909
95,17641.5,18413.2,21398
96,17641.5,18401.6,21370
97,17609,18254.1,21346
98,17578,18230.2,21583.5
99,17565.5,18196.2,20743
100,17521.5,18168.2,23571.5
101,17521.5,18127.3,20602
102,17486.5,18108.8,22208
103,17473.5,18057,20819.5
104,17473.5,18166.4,21102
105,17457.5,18130.8,23939
106,17445.5,18158.5,21095
107,17393.5,18086,22541
108,17393.5,17992.6,20297.5
109,17393.5,18312.2,22167
110,17393.5,18082.9,20830
111,17393.5,18029.7,21810.5
112,17393.5,18034.6,21308
113,17393.5,18219.2,22650.5
114,17393.5,18150.2,21257
115,17393.5,18025,21322.5
116,17393.5,17956.7,21596.5
117,17393.5,18071.2,20676.5
118,17386.5,17979.1,21777.5
119,17373.5,18079.2,21686
120,17373.5,18047.1,20908
121,17371,18027.3,21234.5
122,17371,18056.8,21418.5
123,17371,18000.5,22068
124,17289,18053.5,20452
125,17289,18054.5,21934.5
126,17286.5,17980.4,21515.5
127,17286.5,17937.9,20723
128,17253.5,18039.8,21463
129,17253.5,17946.8,20878
130,17253.5,17940.7,21300
131,17228,17913.9,20822
132,17228,17846.1,20841
133,17206.5,17738.7,21511
134,17206,18061.1,22731
135,17166.5,17835,20510.5
136,17144.5,18007.5,22430
137,17144.5,17902.3,21153.5
138,17139,17667,22746
139,17130.5,17857.2,20914
140,17130.5,17791.9,21699.5
141,17130.5,17799.9,21157
142,17112.5,17696.8,21136
143,17112.5,17762.5,21816.5
144,17112.5,17819,20908
145,17112.5,17774.4,20132
146,17099.5,17755.2,20640.5
147,17095.5,17720,21134
148,17095.5,17681.5,20312.5
149,17094,17731.2,20836
150,17094,17721.4,20255
151,17094,17630.9,20810.5
152,16976.5,17647.8,20916.5
