Generation,BestFitness,AverageFitness,WorstFitness
153,16975,17686.8,20888.5
154,16926.5,17700.8,20639.5
155,16926.5,17703.4,20957.5
156,16926.5,17688.9,20841
157,16926.5,17530.6,21031
158,16914,17510.8,20692.5
159,16914,17417.5,19915
160,16914,17518.7,21090
161,16914,17546.3,22082.5
162,16914,17524.1,20964.5
163,16914,17481.3,21393.5
164,16843.5,17495.6,22419.5
165,16843.5,17701.6,21223
166,16843.5,17720.5,22055.5
167,16826.5,17555.7,21567
168,16826.5,17527.7,21015.5
169,16800,17451.8,20191.5
170,16800,17382.7,21207
171,16776,17493.5,20742.5
172,16776,17358,21051.5
173,16721.5,17389.1,21819
174,16721.5,17366.2,21611.5
175,16721.5,17445.1,21752.5
176,16626,17376,20257
177,16568.5,17429.2,21763
178,16568.5,17339.8,20923
179,16518.5,17216.2,19818
180,16518.5,17284.5,20968
181,16518.5,17217.4,21203
182,16518.5,17118.4,20392
183,16518.5,17135,20530.5
184,16518.5,17123.8,20365.5
185,16518.5,17254.4,21354
186,16518.5,17235.4,19995
187,16518.5,17207.3,20628.5
188,16516.5,17193.7,21369.5
189,16491.5,17287.5,20348
190,16491.5,17070.2,19724
191,16491.5,17061.3,20600.5
192,16491.5,17218.5,20526.5
193,16385,17213.9,21247
194,16326.5,17063.4,21078.5
195,16326.5,17014.8,20518
196,16326.5,17013.9,20489
197,16326.5,16746,19567
198,16326.5,17019.5,20683
199,16318,17002.1,19553
200,16313.5,16993,20283.5
201,16313.5,17035.3,20417.5
202,16313.5,16977,19706
203,16274.5,16975.4,21498
204,16249.5,16993.7,19882
205,16249.5,16910.6,21015.5
206,16230.5,16847,21321.5
207,16230.5,16939.6,20486.5
208,16230.5,16717.5,19802.5
209,16230.5,16749.6,20525
210,16230.5,16827.4,20482
211,16230.5,16935.6,20255
212,16171.5,16760.4,20760.5
213,16171.5,17003.3,19439
214,16145.5,16815.9,20121
215,16145.5,16934.8,19843
216,16145.5,16919.8,21315
217,16145.5,16689.6,19775.5
218,16145.5,16844.1,19320.5
219,16145.5,16839.1,20110
220,16145.5,16723.8,20736
221,16145.5,16815.6,22026.5
222,16145.5,16855.7,21250
223,16145.5,16731,20561
224,16145.5,16777,21223.5
225,16108,16904.5,20966.5
226,16108,16863.7,21377
227,16078,16902.6,20546.5
228,16078,16877.4,20911.5
229,16078,16828.6,20675.5
230,16078,16804.7,19453
231,16078,16880.4,19954
232,16071,16779.1,21423
233,16071,16718,20163
234,16071,16668.9,19824
235,16071,16794.1,20534
236,16071,16634.1,20333.5
237,16059.5,16654.1,19461.5
238,16059.5,16659.2,20389
239,16012.5,16835.9,20145.5
240,16012.5,16916.3,21885.5
241,15974.5,16763.2,19604
242,15974.5,16702.5,20075.5
243,15945,16680.5,21089
244,15945,16675.8,20600
245,15945,16556.8,19667.5
246,15945,16619.5,20343.5
247,15919.5,16732.6,19921
248,15919.5,16710.4,19900
249,15919.5,16656.1,19279
250,15919.5,16537.9,19621
251,15919.5,16715.4,20106
252,15919.5,16543.2,19750.5
253,15919.5,16585.3,19466
254,15919.5,16444.3,19569
255,15919.5,16655.2,19886
256,15890,16513.7,21427.5
257,15890,16674.7,20451.5
258,15890,16578.8,18462
259,15890,16509.6,19960
260,15890,16537.1,20441.5
261,15890,16522.8,19424.5
262,15890,16607,21920.5
263,15890,16543.3,20226.5
264,15890,16598.1,20010
265,15890,16611.5,19488
266,15890,16698,21363
267,15890,16624.1,19777.5
268,15890,16702.4,19979
269,15890,16675,20840
270,15890,16530.7,19194
271,15890,16461.4,20129.5
272,15890,16549.7,20012.5
273,15890,16561.9,19864.5
274,15890,16635,20057
275,15890,16711.5,20339.5
276,15890,16521.8,19871.5
277,15890,16534.5,19791.5
278,15890,16559.5,20799.5
279,15890,16552.6,20353.5
280,15890,16491.7,21031.5
281,15890,16621.7,19706.5
282,15890,16459.6,20214
283,15880.5,16516,19103
284,15880.5,16570.2,19750
285,15880.5,16550,19468.5
286,15880.5,16731.7,19770
287,15880.5,16457.3,18371.5
288,15837,16728.7,20413
289,15830,16680.7,20024
290,15830,16521.9,18706
291,15830,16552.3,20433
292,15759.5,16563.8,21016.5
293,15759.5,16627.8,20287
294,15695,16583.4,19632
295,15689,16415.2,20409
296,15689,16429.6,21157
297,15689,16347.3,19852
298,15689,16458.9,19928
299,15689,16360.5,19133.5
300,15689,16274.7,19712.5
301,15689,16350.4,19667.5
302,15689,16302.5,22968
303,15689,16240.2,19330.5
304,15689,16310.4,21004.5
305,15689,16553,19452
306,15689,16267.2,19162
307,15689,16438.2,20069.5
308,15689,16338.5,20678.5
309,15689,16459.7,19485
310,15689,16399.1,19579.5
311,15689,16337.7,19918
312,15650,16422.3,20626.5
313,15650,16612.3,21161.5
314,15650,16399,19376.5
315,15650,16390.7,19195.5
316,15650,16251.8,19287.5
317,15650,16286.4,19859.5
318,15650,16260.8,19615.5
319,15650,16270.5,19003.5
320,15650,16324,19628
321,15650,16346.9,20921.5
322,15650,16285.1,19960.5
323,15650,16316.6,19749
324,15650,16278.9,19862
325,15650,16497.7,20439.5
326,15650,16444.5,19851.5
327,15650,16365.4,19433
328,15650,16392.5,19743.5
329,15650,16295,18927.5
330,15650,16551.2,19655
331,15650,16392.3,19675
332,15650,16246.7,19061.5
333,15650,16444.2,20217.5
334,15650,16396.6,19581.5
335,15650,16265.9,19246.5
336,15650,16237.8,19993
337,15650,16475.1,20180
338,15650,16196.8,20975.5
339,15650,16403.7,19798.5
340,15650,16446.9,20512.5
341,15648,16299.3,18668.5
342,15648,16239.3,19657.5
343,15648,16261.5,19764.5
344,15648,16224.2,19465

RunTime (seconds),3.74382
Evaluate Calls,50091
