Generation,BestFitness,AverageFitness,WorstFitness
0,42133.5,49489.3,56811
1,40045,46843.7,53896
2,39276,45882.8,53002
3,38728.5,44406.3,51124
4,38728.5,44075.7,51417
5,38386,43456.2,51705.5
6,37280,43205.8,51964
7,36794.5,42382.2,49826.5
8,35817.5,40636.5,49595.5
9,35764,39108.6,46260.5
10,35206.5,37469.6,41258
11,34190,36382.4,40927.5
12,32694.5,35888.2,41023.5
13,31066,35078,40019.5
14,30344.5,33889.1,38274.5
15,30344.5,32769.6,37518.5
16,30039,31882.2,36125
17,29962.5,31355.1,33818.5
18,28580,30881.3,34649.5
19,28308.5,30478.2,34393.5
20,28307,30217.2,33537
21,27941.5,29900.1,32545
22,27677.5,29318.6,33614
23,27677.5,28809.3,32394.5
24,27494.5,28526.6,30862
25,27299.5,28257.1,31646
26,26965.5,27976.8,29908.5
27,26719.5,27985.7,32916.5
28,26719.5,27787.9,30226
29,26719.5,27635.5,31084
30,26415,27514.5,30958.5
31,26028,27259,31398.5
32,26028,27198.6,31056
33,26028,26909.4,30663.5
34,25768,26680.3,29663
35,25496,26441.7,29336.5
36,25496,26434.5,29244
37,25496,26307.9,29552.5
38,25374.5,26255.9,28797
39,25299,26189.8,29426
40,25255,26130.6,29834.5
41,24980,26072.9,30468
42,24980,25907.7,29271.5
43,24820.5,25782.2,29674.5
44,24317,25840.3,30387.5
45,24146.5,25455.3,29678.5
46,23986.5,25254.1,28631
47,23967,24807.6,28149.5
48,23947.5,24725,27663.5
49,23731,24589.2,28197
50,23723,24768.7,28928
51,23719,24512.9,27431.5
52,23570.5,24388.9,27178.5
53,23409.5,24251.3,27287
54,23355,24222.4,26814
55,23291,24422.7,27606.5
56,23146,24057.8,27770
57,23036.5,23947.3,26961
58,23024,23847.4,26859.5
59,22946,23761.6,26548
60,22877,23778.6,27183.5
61,22874.5,23686.4,26588
62,22831.5,23606.6,26433
63,22788.5,23741.2,27118
64,22645.5,23510.3,27202
65,22622.5,23374.1,26535
66,22520,23583.1,27714
67,22520,23436.4,26846
68,22501,23283.2,26257.5
69,22501,23096.5,26886
70,22501,23315,27387
71,22423,23195.8,26971.5
72,22423,23089.8,26451
73,22423,23148.7,27066
74,22423,23156.3,26185
75,22382.5,23163.2,25673.5
76,22361,23113.1,25980
77,22355,23203.6,25675.5
78,22335.5,23273.2,26750.5
79,22335.5,22987.1,25403.5
80,22248,23032.7,26064
81,22248,23273.5,27505
82,22248,23004.3,26674.5
83,22233,22855.5,28028.5
84,22227,23045.1,25977
85,22227,23003.2,25637.5
86,22107,23089.9,27482.5
87,22079.5,23017.3,26602
88,22047,22813.9,26462.5
89,22047,22704.1,25611
90,22047,22660.6,26210
91,22047,22791.1,26491.5
92,21997.5,22727.1,27031.5
93,21997.5,22764.7,28162
94,21997.5,22804.2,26537.5
95,21987,22815.4,26403.5
96,21987,22809.1,26982.5
97,21987,22686.1,26412
98,21949.5,22679.5,26453
99,21921,22752.1,26540
100,21899,22802.9,27091.5
101,21899,22939.7,26926
102,21833,22674.5,25866
103,21833,22637.8,26008.5
104,21833,22708.1,26543.5
105,21773,22605.7,25891.5
106,21773,22695.3,25323.5
107,21773,22399.6,25488.5
108,21773,22532.4,28721
109,21773,22580.6,26749.5
110,21730.5,22471.3,26990.5
111,21730.5,22443.8,25938.5
112,21671.5,22555.6,25884
113,21636.5,22510.6,27184
114,21636.5,22397.8,25719.5
115,21535,22268.9,24932
116,21535,22424.9,26972.5
117,21535,22422.1,26879.5
118,21535,22247.8,25037
119,21480.5,22555.4,27500.5
120,21480.5,22491,25754.5
121,21480.5,22264.9,26819.5
122,21480.5,22225.6,26035
123,21480.5,22126,25495.5
124,21332.5,22208.4,26215
125,21270,22367.4,25952.5
