Generation,BestFitness,AverageFitness,WorstFitness
126,21270,22309.6,27200
127,21270,22093.4,24819.5
128,21270,22017.6,25290.5
129,21178.5,22087.7,25183.5
130,21124,22053.5,24824.5
131,21124,22185,26353
132,21124,21918.5,25936.5
133,21115.5,21980.5,25731
134,21040.5,21734.3,26551.5
135,20987,21867.6,24786
136,20987,21959.3,24812.5
137,20948,21955.2,26185
138,20948,21622.8,24662
139,20948,21780.7,26309.5
140,20948,21867.3,25311.5
141,20948,21758.1,25169.5
142,20948,21608.2,25359.5
143,20948,21677.9,25052.5
144,20948,21452,24801.5
145,20948,21794.5,25597
146,20948,21656.8,24596.5
147,20948,21633.7,25355.5
148,20948,21809.8,25465.5
149,20948,21829.7,26102
150,20948,21598.3,25271.5
151,20948,21601.7,24301.5
152,20948,21640.9,25235
153,20948,21619.2,25194.5
154,20945.5,21728.2,25748
155,20916.5,21810.5,25674
156,20916.5,21880.9,25083
157,20916.5,21669,25505
158,20916.5,21668.2,24613.5
159,20916.5,21533.6,24138
160,20869,21793.2,25431.5
161,20869,21835.8,26232
162,20869,21516.5,24024
163,20862,21838.9,24721
164,20862,21646,25168
165,20862,21691.1,24343
166,20862,21713.6,25601.5
167,20858.5,21546.7,24521
168,20857,21522.7,25326
169,20810.5,21679.3,26395.5
170,20810.5,21575.7,24305
171,20810.5,22000.6,26082
172,20810.5,21649.2,26395.5
173,20810.5,21752.1,26969
174,20810.5,21406,23900
175,20810.5,21428.5,26532
176,20810.5,21590.3,26179
177,20660,21506,25319
178,20601.5,21441.1,24117
179,20601.5,21561.6,24879.5
180,20601.5,21406.6,24825
181,20601.5,21387.9,24730.5
182,20601.5,21383.1,24698.5
183,20601.5,21445.5,25715
184,20601.5,21523.6,25940
185,20601.5,21429.4,24613
186,20601.5,21162.4,24706.5
187,20601.5,21483.8,25462.5
188,20601.5,21456.8,24454.5
189,20601.5,21207,24005
190,20601.5,21558.8,24767.5
191,20601.5,21366.8,25255.5
192,20601.5,21373.6,24429.5
193,20601.5,21433.4,24754.5
194,20601.5,21505.8,25129.5
195,20601.5,21389.4,24514.5
196,20569,21241.6,25019.5
197,20569,21492.5,24371.5
198,20569,21262.6,23683
199,20569,21354.4,25901.5
200,20569,21486,24877.5
201,20569,21354.3,25416
202,20569,21313.4,24823
203,20569,21443,26434
204,20557,21462.5,26975
205,20557,21322.3,24806
206,20557,21434.6,24783.5
207,20551.5,21338.9,24242
208,20551.5,21422,24928
209,20537,21273.8,24507.5
210,20515.5,21313.4,24418
211,20510,21456.2,26011.5
212,20510,21375.7,24549.5
213,20510,21355.3,24841
214,20459,21218.5,23301
215,20404,21377.3,25484
216,20394.5,21104.5,25034.5
217,20376,21007.5,23118
218,20376,21130.3,23973
219,20375,20982.5,24315.5
220,20375,21305.7,25062
221,20373,20973.7,24763.5
222,20373,21329.8,24539.5
223,20373,21203.5,25247.5
224,20373,21323.7,24394
225,20373,21218.9,25170
226,20373,21290.7,24978.5
227,20373,20898.8,24116.5
228,20373,21218.5,25049.5
229,20373,21190.8,24148.5
230,20373,21064.5,24432
231,20373,21103.5,24555.5
232,20373,21193.3,25544.5
233,20373,21265.8,24161
234,20373,21210.7,24039
235,20373,21102.8,24120
236,20373,21276.7,25173.5
237,20373,21141.2,25078
238,20373,21149.8,24693
239,20373,21262.6,25123
240,20373,21131,23897
241,20370,21216.3,25467
242,20355,21105,24606
243,20355,21107.7,23418
244,20355,20973,23963
245,20355,20969.4,24293
246,20355,21092.7,24969
247,20355,21136,24758
248,20355,21318.5,25913
249,20355,21060.4,23570.5
250,20304.5,21158.9,26679.5
251,20304.5,21236.1,24914.5
252,20304.5,21317.4,26968
253,20304.5,21127.5,24426
254,20304.5,21012.6,24092.5
255,20304.5,21141.1,24897.5
256,20304.5,20916.2,24663.5
257,20304.5,21128.1,24534
258,20304.5,21143.1,26404.5
259,20304.5,21072.3,23968.5
260,20304.5,21092.5,24019.5
261,20304.5,20955.9,24707.5
262,20304.5,21063,24943.5
263,20304.5,21064,25005
264,20296.5,21098.1,24511
265,20296.5,21123.5,24594
266,20296.5,21127.4,23975.5
267,20296.5,21228.4,24821.5
268,20296.5,21202.9,24633
269,20296.5,21141.7,24118
270,20296.5,20872.7,23907
271,20296.5,21015.8,25405.5
272,20296.5,21133.7,24537
273,20296.5,21261.9,24869
274,20275,21062.6,25093.5
275,20223,21059,24355
276,20223,21237.3,25441
277,20187.5,21061.1,25390
278,20166,21107.5,25125
279,20166,20893.6,24781.5
280,20166,20987.5,24290.5
281,20166,20956.3,24005.5
282,20162,20841.3,23228.5
283,20162,21042.3,24251.5
284,20162,20861.6,24109
285,20162,20947.6,24288.5
286,20162,20980,24277
287,20162,21127.1,24508
288,20162,20978.8,24578.5
289,20148,20718.9,24675.5
290,20148,20745.8,24133.5
291,20148,20832.6,23828.5
292,20148,20852.4,23573.5
293,20148,20965.9,24022
294,20124.5,20913.9,25066.5
295,20124.5,20784.7,23728.5
296,20124.5,20879.9,25653
297,20124.5,20878.7,23888
298,20124.5,20919.6,24054.5
299,20124.5,20908.1,24256
300,20112.5,20937.6,24128
301,20033.5,20918,25530.5
302,20033.5,20876,24890.5
303,20033.5,20747.4,23087.5
304,19991,20794.9,24449.5
305,19991,20670.7,25110
306,19979,20798.9,25299
307,19979,20819.2,23379
308,19979,20953.9,24494
309,19979,20929.5,24906
310,19979,20587.4,23723.5
311,19979,20977.7,24221.5
312,19979,20822.3,25519.5
313,19979,21005.2,25203.5
314,19979,20939,24080
315,19979,20770.7,24115
316,19979,20827.7,25082.5
317,19979,20747.2,25304
318,19975.5,20672.7,23787
319,19975.5,20720.1,23690.5
320,19975.5,20711.2,23469
321,19975.5,20850.4,25400
322,19975.5,20732.5,26009.5
323,19975.5,20782.6,24088.5
324,19975.5,20921.1,25815
325,19975.5,20713.2,24223
326,19975.5,20700.3,24215
327,19975.5,20795.3,23649.5
328,19975.5,20882.9,23972
329,19975.5,20553.9,23304
330,19975.5,20844.2,24225
331,19975.5,20609.2,24297
332,19975.5,20729,24132.5
333,19975.5,20701.7,24301
334,19840,20664.4,24035
335,19830,20724.8,23923.5
336,19830,20474.1,23458
337,19830,20670.7,23885
338,19830,20800.2,24695
339,19830,20393.8,24332.5
340,19830,20840.4,25546
341,19830,20725.6,25268
342,19830,20656.1,24675
343,19830,20534.6,23966
344,19830,20596.2,23839.5
345,19830,20624.6,24059.5

RunTime (seconds),3.70035
Evaluate Calls,50001
