Generation,BestFitness,AverageFitness,WorstFitness
217,16738.5,17304.9,21321.5
218,16738.5,17414.6,21380.5
219,16738.5,17279.9,20384.5
220,16738.5,17455.5,20746
221,16738.5,17289.9,20776
222,16738.5,17466.9,20514.5
223,16732,17387.9,21159.5
224,16732,17283.3,21006.5
225,16732,17386.5,20030
226,16732,17301.2,19468
227,16732,17400.5,21139
228,16732,17283.1,19836
229,16732,17527.9,20585
230,16732,17164.3,20107.5
231,16732,17516.8,20859.5
232,16732,17370,20245.5
233,16732,17350.6,20474
234,16708,17381.4,20109
235,16708,17250.8,21175.5
236,16708,17374,20040
237,16708,17209.7,21285
238,16708,17422,21501
239,16708,17553,20985
240,16708,17441,22059.5
241,16708,17342.3,22145.5
242,16708,17409,20509
243,16708,17475.5,20535.5
244,16708,17454.7,21529
245,16708,17424.8,20217.5
246,16708,17340.3,20169.5
247,16708,17347.3,21248
248,16708,17520,20920
249,16708,17488,20711
250,16708,17353,21354
251,16708,17450.2,21496.5
252,16708,17263.7,20310.5
253,16708,17399.4,20285.5
254,16708,17274.3,20056.5
255,16708,17302,19367.5
256,16708,17276.1,19758
257,16708,17325,20287
258,16708,17312.4,19734.5
259,16708,17249.6,19787.5
260,16708,17357.3,20695
261,16708,17401.8,20208.5
262,16708,17317.5,20388.5
263,16708,17340.5,21504
264,16708,17253.7,20786
265,16708,17275,21519
266,16708,17293.8,20178.5
267,16708,17226.5,21076
268,16708,17395.6,21077.5
269,16708,17303.1,19689.5
270,16708,17368.8,20565
271,16708,17220.7,20552
272,16708,17269.9,21076.5
273,16708,17329.5,19261.5
274,16708,17422.8,21164.5
275,16708,17452.5,22348.5
276,16708,17376.7,21941.5
277,16708,17269.7,20116
278,16708,17243.8,19986.5
279,16708,17219.1,21022
280,16708,17283,19807
281,16708,17505.9,20303
282,16708,17222.3,19316.5
283,16708,17342.8,20695.5
284,16708,17203,20281
285,16708,17431.5,22792
286,16708,17156.2,19735.5
287,16708,17266.8,19976.5
288,16708,17395.7,20191.5
289,16708,17261.2,20745
290,16708,17288.6,19508.5
291,16708,17517,21977.5
292,16708,17517.9,21352
293,16708,17364.2,20411.5
294,16708,17333.7,20049.5
295,16708,17571.7,22150
296,16685.5,17383.3,19542
297,16652.5,17452.9,21504.5
298,16630,17134,19570
299,16630,17365.5,21816.5
300,16630,17388,20354.5
301,16630,17211.7,22135
302,16630,17202.3,20183
303,16630,17322.6,19709
304,16630,17264.9,19692.5
305,16630,17134,19438.5
306,16630,17344.8,19914.5
307,16630,17329.2,20488.5
308,16630,17295.4,20432.5
309,16630,17153.8,20310
310,16630,17198.7,20783
311,16630,17161.4,20633.5
312,16630,17322.7,20718
313,16630,17310,21873
314,16603,17202.2,21131.5
315,16603,17212.3,20804
316,16603,17164.5,20376.5
317,16603,17139.1,19819
318,16603,17268.7,19707
319,16603,17206.4,20626.5
320,16603,17185.6,19405.5
321,16603,17255.7,20258.5
322,16565,17210.1,21298
323,16565,17238.5,21333.5
324,16565,17482.9,23247
325,16565,17353.9,20677
326,16530,17169.6,21299
327,16530,17200.7,19511
328,16530,17293.7,20978.5
329,16530,17175.5,19890
330,16530,17321,21336.5
331,16530,17142.9,20051.5
332,16530,17042.6,20502.5
333,16524,17024.5,20081.5
334,16520.5,17175.7,20201.5
335,16520.5,16982.4,20899.5
336,16520.5,17184.8,22251

RunTime (seconds),3.6649
Evaluate Calls,50139
